epic_id,task,phase,start_sprint,sprints,description
6837,System/ETL (DW) Mapping & Analysis,Analysis & Design,1,9,"Inventory and analyze ICM DW Informatica/DAC SDE/SIL mappings, schedules, and dependencies; document data lineage, complexity and migration candidates to Spark/Airflow with acceptance criteria for parity."
9409,System/ETL (Ops) Mapping & Analysis,Analysis & Design,10,7,"Catalog ICM operational Informatica jobs (cheque run, rollover, reconciliation, EDQ, webMethods feeds), upstream/downstream interactions and runbooks; score complexity and plan migration patterns/waves to Spark/Airflow."
9384,ETL Inventory & Migration Strategy,Analysis & Design,2,12,"Define migration approach per ETL (lift-and-shift vs re-engineer), wave sequencing, risk/rollback posture, code standards, and proof-of-parity gates (unit, integration, parallel run)."
8663,Data Integration Change & Release Governance Framework,Analysis & Design,18,13,"Define a structured change and release governance framework for the Spark and Airflow data integration platform, ensuring that updates to ETL pipelines, data models, and upstream/downstream integrations are safely introduced, validated, and auditable. This framework focuses on process, control, and operational governance, independently of how metadata and data models are defined. It establishes how changes are proposed, reviewed, tested, approved, and deployed across environments while maintaining system stability and SLA commitments. Establish release/change governance, documentation and metadata standards in Lakehouse framework, approval paths, audit/lineage, and validation controls to integrate Spark/Airflow with existing ICM CAB/RCB processes."
9406,Project Knowledge Base and Wiki,Analysis & Design,2,25,"Establish a centralized, structured knowledge base and documentation platform for the CriDIR program to support architecture transparency, onboarding, operational readiness, and long-term maintainability. This epic will define, implement, and operationalize a single source of truth for all CriDIR documentation, including architecture, design decisions, ETL patterns, operational procedures, and governance processes."
8367,Incremental (CDC) Data Loads: Analysis & Design,Analysis & Design,18,13,"Design CDC architecture (watermarking/snapshots, merge semantics, late-arriving handling) for Siebel->DW and Ops flows; define patterns, parameters, and parallel-run compatibility with DAC schedules."
9385,Security/Privacy Assessments,Analysis & Design,18,10,"Complete PIA/STRA; specify Protected-C controls including deterministic masking, least-privilege access, encryption, operational audit trail, and anonymized test-data process and evidence."
9386,ICM DW Informatica PoC,Development,2,6,Demonstrate Spark/Airflow can reproduce representative DW ETLs (SDE/SIL) with equivalent outputs and batch-window performance on target infrastructure.
9457,ETL Conversion Pipeline,Development,2,24,"Build the conversion toolchain and libraries to translate Informatica mappings/workflows into Spark jobs and Airflow DAGs; implement reusable transforms, naming/packaging, unit tests, and code quality gates."
9389,Airflow/Spark Environment and Hosting Platform Setup,Development,4,20,"Deploy containerized Spark and Airflow (Emerald/OpenShift); configure connections to Siebel/DW, secrets, observability, autoscaling limits, and environment promotion for DEV->SIT->UAT->PROD."
9458,Development Tooling & CI/CD,Development,13,25,"Implement CI/CD for Spark/Airflow (build, test, package, scan, deploy), environment variables/secrets management, data-quality test execution, and promotion workflows with change evidence."
